STATE,YEAR,ANNUAL
ANDAMAN & NICOBAR ISLANDS,2015,2904.6
ARUNACHAL PRADESH,2015,2767.5
ASSAM & MEGHALAYA,2015,2470.9
NAGA MANI MIZO TRIPURA,2015,1922.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2015,2518.6
GANGETIC WEST BENGAL,2015,1530.3
ORISSA,2015,1210.1
JHARKHAND,2015,1081.8
BIHAR,2015,872.7
EAST UTTAR PRADESH,2015,603.3
WEST UTTAR PRADESH,2015,582.7
UTTARAKHAND,2015,1247.6
HARYANA DELHI & CHANDIGARH,2015,435.3
PUNJAB,2015,510.8
HIMACHAL PRADESH,2015,1210.5
JAMMU & KASHMIR,2015,1572.8
WEST RAJASTHAN,2015,458.4
EAST RAJASTHAN,2015,650.7
WEST MADHYA PRADESH,2015,1042.3
EAST MADHYA PRADESH,2015,939.2
GUJARAT REGION,2015,622.9
SAURASHTRA & KUTCH,2015,441.7
KONKAN & GOA,2015,2082
MADHYA MAHARASHTRA,2015,644.5
MATATHWADA,2015,532.2
VIDARBHA,2015,993.8
CHHATTISGARH,2015,1117.6
COASTAL ANDHRA PRADESH,2015,1010.9
TELANGANA,2015,857.3
RAYALSEEMA,2015,1047.1
TAMIL NADU,2015,1204.6
COASTAL KARNATAKA,2015,3106
NORTH INTERIOR KARNATAKA,2015,551.9
SOUTH INTERIOR KARNATAKA,2015,1112.5
KERALA,2015,2600.6
LAKSHADWEEP,2015,1642.9
